ESTACAO,DATA (YYYY-MM-DD),rain_max,rad_max,temp_avg,temp_max,temp_min,hum_max,hum_min,wind_max,wind_avg
A001,2000-05-07,0.0,2915.0,25.125,28.3,20.7,69.0,36.0,6.3,1.7666666666666666
A001,2000-05-08,0.0,3126.0,22.104166666666668,28.2,16.5,86.0,33.0,7.1,2.066666666666667
A001,2000-05-09,0.0,2901.0,22.041666666666668,28.7,16.6,79.0,37.0,7.0,1.1500000000000001
A001,2000-05-10,0.0,2972.0,22.462500000000002,28.9,17.7,82.0,35.0,6.3,2.0083333333333333
A001,2000-05-11,0.0,2958.0,21.329166666666666,27.3,16.6,80.0,35.0,7.3,2.670833333333333
A001,2000-05-12,0.0,2980.0,20.166666666666668,26.5,15.2,79.0,42.0,7.3,2.9958333333333336
A001,2000-05-13,0.0,3016.0,18.945833333333333,24.7,13.7,86.0,43.0,7.8,3.1208333333333336
A001,2000-05-14,0.0,3055.0,18.691666666666666,25.0,13.7,84.0,34.0,8.8,3.1333333333333333
A001,2000-05-15,0.0,3012.0,19.004166666666666,26.3,11.8,89.0,28.0,7.8,1.9000000000000001
A001,2000-05-16,0.0,3025.0,19.758333333333333,26.7,13.8,81.0,29.0,6.4,1.6916666666666667
A001,2000-05-17,0.0,2932.0,20.1125,27.1,14.0,80.0,32.0,8.7,1.5999999999999999
A001,2000-05-18,0.0,2832.0,19.833333333333332,26.0,15.8,89.0,48.0,5.9,2.0
A001,2000-05-19,0.0,2554.0,18.42105263157895,26.4,13.8,85.0,43.0,5.9,1.7052631578947368
A001,2000-05-22,0.0,2767.0,23.475,26.0,20.8,67.0,45.0,7.6,3.1625
A001,2000-05-23,0.0,2888.0,20.0625,25.8,14.8,92.0,40.0,8.4,3.0083333333333333
A001,2000-05-24,0.0,2886.0,19.133333333333333,24.5,14.7,85.0,36.0,8.6,3.5375
A001,2000-05-25,0.0,2964.0,17.754166666666666,24.9,11.8,84.0,31.0,9.1,2.9375
A001,2000-05-26,0.0,2916.0,19.175,26.4,12.2,92.0,29.0,7.5,1.7583333333333335
A001,2000-05-27,0.0,2886.0,19.8625,26.8,12.2,81.0,26.0,5.3,1.3791666666666667
